,Unnamed: 0,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response,Latency,Latency Corrected SA
391,25,-87.81700000000001,2018-07-16 14:12:57.154972,H2b2,2018-07-16 14:12:57.242789,805.0,591.712,2018-07-16 14:12:57.538645,2018-07-16 14:12:56.962959,2018-07-16 14:12:57.154972,-87.81700000000001,-67.88766666666668,68.37954482715742,-67.88766666666668,68.37954482715742,0,-91.821,131.49155555555555,43.674555555555564
392,26,-179.638,2018-07-16 14:12:57.654863,H2b2,2018-07-16 14:12:57.834501,805.0,623.729,2018-07-16 14:12:58.146366,2018-07-16 14:12:57.538645,2018-07-16 14:12:57.654863,-179.638,-67.88766666666668,68.37954482715742,-67.88766666666668,68.37954482715742,0,31.065,138.60644444444443,-41.03155555555554
393,27,-148.57299999999998,2018-07-16 14:12:58.309657,H2b2,2018-07-16 14:12:58.458230,805.0,639.75,2018-07-16 14:12:58.778105,2018-07-16 14:12:58.146366,2018-07-16 14:12:58.309657,-148.57299999999998,-67.88766666666668,68.37954482715742,-67.88766666666668,68.37954482715742,0,,142.16666666666666,-6.406333333333349
394,1,81.304,2018-07-16 14:10:17.628589,H2b3,2018-07-16 14:10:17.547285,805.0,431.76,2018-07-16 14:10:17.763165,2018-07-16 14:10:17.331420,2018-07-16 14:10:17.628589,81.304,-29.501459459459447,58.388701555273606,-29.501459459459447,58.388701555273606,0,-55.027,95.94666666666666,177.25066666666663
395,2,26.276999999999997,2018-07-16 14:10:18.005322,H2b3,2018-07-16 14:10:17.979045,805.0,415.755,2018-07-16 14:10:18.186922,2018-07-16 14:10:17.763165,2018-07-16 14:10:18.005322,26.276999999999997,-29.501459459459447,58.388701555273606,-29.501459459459447,58.388701555273606,0,-10.229000000000003,92.39,118.667
396,3,16.048,2018-07-16 14:10:18.410848,H2b3,2018-07-16 14:10:18.394800,805.0,415.93800000000005,2018-07-16 14:10:18.602769,2018-07-16 14:10:18.186922,2018-07-16 14:10:18.410848,16.048,-29.501459459459447,58.388701555273606,-29.501459459459447,58.388701555273606,0,-27.136,92.43066666666668,108.47866666666668
397,4,-11.088,2018-07-16 14:10:18.799650,H2b3,2018-07-16 14:10:18.810738,805.0,399.77,2018-07-16 14:10:19.010623,2018-07-16 14:10:18.602769,2018-07-16 14:10:18.799650,-11.088,-29.501459459459447,58.388701555273606,-29.501459459459447,58.388701555273606,0,21.980999999999998,88.83777777777777,77.74977777777778
398,5,10.892999999999999,2018-07-16 14:10:19.221401,H2b3,2018-07-16 14:10:19.210508,805.0,399.81,2018-07-16 14:10:19.410413,2018-07-16 14:10:19.010623,2018-07-16 14:10:19.221401,10.892999999999999,-29.501459459459447,58.388701555273606,-29.501459459459447,58.388701555273606,0,25.642,88.84666666666666,99.73966666666666
399,6,36.535,2018-07-16 14:10:19.646853,H2b3,2018-07-16 14:10:19.610318,805.0,383.958,2018-07-16 14:10:19.802297,2018-07-16 14:10:19.410413,2018-07-16 14:10:19.646853,36.535,-29.501459459459447,58.388701555273606,-29.501459459459447,58.388701555273606,0,-43.81,85.32400000000001,121.859
400,7,-7.275,2018-07-16 14:10:19.987001,H2b3,2018-07-16 14:10:19.994276,805.0,383.969,2018-07-16 14:10:20.186260,2018-07-16 14:10:19.802297,2018-07-16 14:10:19.987001,-7.275,-29.501459459459447,58.388701555273606,-29.501459459459447,58.388701555273606,0,25.373,85.32644444444446,78.05144444444444
