,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response,,
113,-305.569,08:03.0,A1a4,08:03.3,1779,325.079,08:03.4,08:03.1,08:03.3,28.51,30.03617857,35.68290738,-292.3591897,39.71006094,2,6.21,32.6408463,-4.1308463
114,-296.569,08:03.3,A1a4,08:03.6,1779,325.079,08:03.8,08:03.4,08:03.6,34.72,30.03617857,35.68290738,-292.3591897,39.71006094,2,-4.618,32.6408463,2.0791537
115,-290.359,08:03.6,A1a4,08:03.9,1779,348.3,08:04.1,08:03.8,08:03.9,30.102,30.03617857,35.68290738,-292.3591897,39.71006094,2,-12.874,32.6408463,-2.5388463
116,-318.198,08:03.9,A1a4,08:04.3,1779,325.079,08:04.4,08:04.1,08:04.3,17.228,30.03617857,35.68290738,-292.3591897,39.71006094,2,7.447,32.6408463,-15.4128463
117,-307.851,08:04.3,A1a4,08:04.6,1779,325.08,08:04.8,08:04.4,08:04.6,24.675,30.03617857,35.68290738,-292.3591897,39.71006094,2,22.535,32.6408463,-7.9658463
118,-300.405,08:04.6,A1a4,08:04.9,1779,348.299,08:05.1,08:04.8,08:05.0,47.21,30.03617857,35.68290738,-292.3591897,39.71006094,2,-5.695,32.6408463,14.5691537
119,-301.089,08:05.0,A1a4,08:05.3,1779,325.079,08:05.4,08:05.1,08:05.3,41.515,30.03617857,35.68290738,-292.3591897,39.71006094,2,-8.314,32.6408463,8.8741537
120,-283.564,08:05.3,A1a4,08:05.6,1779,325.08,08:05.8,08:05.4,08:05.6,33.201,30.03617857,35.68290738,-292.3591897,39.71006094,2,7.398,32.6408463,0.5601537
121,-291.879,08:05.6,A1a4,08:05.9,1779,348.299,08:06.1,08:05.8,08:06.0,40.599,30.03617857,35.68290738,-292.3591897,39.71006094,2,-10.143,32.6408463,7.9581537
122,-307.7,08:06.0,A1a4,08:06.3,1779,325.079,08:06.4,08:06.1,08:06.3,30.456,30.03617857,35.68290738,-292.3591897,39.71006094,2,-1.522,32.6408463,-2.1848463
123,-294.623,08:06.3,A1a4,08:06.6,1779,348.3,08:06.8,08:06.4,08:06.6,28.934,30.03617857,35.68290738,-292.3591897,39.71006094,2,-22.016,32.6408463,-3.7068463
124,-319.366,08:06.6,A1a4,08:06.9,1779,325.079,08:07.1,08:06.8,08:06.9,6.918,30.03617857,35.68290738,-292.3591897,39.71006094,2,27.427,32.6408463,-25.7228463
125,-318.161,08:06.9,A1a4,08:07.3,1779,325.079,08:07.4,08:07.1,08:07.3,34.345,30.03617857,35.68290738,-292.3591897,39.71006094,2,7.359,32.6408463,1.7041537
126,-290.734,08:07.3,A1a4,08:07.6,1779,348.3,08:07.8,08:07.4,08:07.6,41.704,30.03617857,35.68290738,-292.3591897,39.71006094,2,,32.6408463,9.0631537
127,-306.596,08:07.6,A1a4,08:07.9,1779,325.079,08:08.1,08:07.8,,,30.03617857,35.68290738,-292.3591897,39.71006094,2,,32.6408463,-32.6408463
128,-73.847,08:08.2,A1a4,08:08.3,1779,325.079,08:08.4,08:08.1,08:08.2,-73.847,30.03617857,35.68290738,-292.3591897,39.71006094,2,114.964,32.6408463,-106.4878463
129,-301.284,08:08.3,A1a4,08:08.6,1779,348.3,08:08.8,08:08.4,08:08.6,41.117,30.03617857,35.68290738,-292.3591897,39.71006094,2,-30.219,32.6408463,8.4761537
130,-307.183,08:08.6,A1a4,08:08.9,1779,325.079,08:09.1,08:08.8,08:08.9,10.898,30.03617857,35.68290738,-292.3591897,39.71006094,2,24.819,32.6408463,-21.7428463
131,-314.181,08:08.9,A1a4,08:09.3,1779,325.079,08:09.4,08:09.1,08:09.3,35.717,30.03617857,35.68290738,-292.3591897,39.71006094,2,10.556,32.6408463,3.0761537
132,-289.362,08:09.3,A1a4,08:09.6,1779,348.3,08:09.8,08:09.4,08:09.6,46.273,30.03617857,35.68290738,-292.3591897,39.71006094,2,-16.273,32.6408463,13.6321537
133,-302.027,08:09.6,A1a4,08:09.9,1779,325.079,08:10.1,08:09.8,08:10.0,30,30.03617857,35.68290738,-292.3591897,39.71006094,2,6.344,32.6408463,-2.6408463
134,-295.079,08:10.0,A1a4,08:10.3,1779,325.079,08:10.4,08:10.1,08:10.3,36.344,30.03617857,35.68290738,-292.3591897,39.71006094,2,10.969,32.6408463,3.7031537
135,-288.735,08:10.3,A1a4,08:10.6,1779,348.3,08:10.8,08:10.4,08:10.6,47.313,30.03617857,35.68290738,-292.3591897,39.71006094,2,-28.073,32.6408463,14.6721537
136,-300.987,08:10.6,A1a4,08:10.9,1779,325.079,08:11.1,08:10.8,08:10.9,19.24,30.03617857,35.68290738,-292.3591897,39.71006094,2,9.509,32.6408463,-13.4008463
