,Asynchrony,IOI,Max,Mean Asynchrony,Min,Missed Taps,Phase Correction Response,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Sanitized Tap Onset,Std Dev Asynchrony,Tap Onset,Test,True Onset,Unnamed: 0,Unnamed: 0.1,User ID
151,-130.565,447.893,2018-07-21 21:59:05.453421,-437.7344705882353,2018-07-21 21:59:05.013567,1,27.120999999999995,-130.565,-99.60696969696968,42.39189391004256,2018-07-21 21:59:05.098910,391.1737718996457,2018-07-21 21:59:05.098910,H1b3,2018-07-21 21:59:05.229475,151,5,131.0
152,-103.444,447.699,2018-07-21 21:59:05.901218,-437.7344705882353,2018-07-21 21:59:05.453421,1,6.454000000000009,-103.444,-99.60696969696968,42.39189391004256,2018-07-21 21:59:05.573924,391.1737718996457,2018-07-21 21:59:05.573924,H1b3,2018-07-21 21:59:05.677368,152,6,131.0
153,-96.99,447.865,2018-07-21 21:59:06.349000,-437.7344705882353,2018-07-21 21:59:05.901218,1,-5.3950000000000085,-96.99,-99.60696969696968,42.39189391004256,2018-07-21 21:59:06.028077,391.1737718996457,2018-07-21 21:59:06.028077,H1b3,2018-07-21 21:59:06.125067,153,7,131.0
154,-102.385,447.577,2018-07-21 21:59:06.796720,-437.7344705882353,2018-07-21 21:59:06.349000,1,-9.409999999999997,-102.385,-99.60696969696968,42.39189391004256,2018-07-21 21:59:06.470547,391.1737718996457,2018-07-21 21:59:06.470547,H1b3,2018-07-21 21:59:06.572932,154,8,131.0
155,-111.795,431.827,2018-07-21 21:59:07.236422,-437.7344705882353,2018-07-21 21:59:06.796720,1,14.322000000000005,-111.795,-99.60696969696968,42.39189391004256,2018-07-21 21:59:06.908714,391.1737718996457,2018-07-21 21:59:06.908714,H1b3,2018-07-21 21:59:07.020509,155,9,131.0
156,-97.473,447.857,2018-07-21 21:59:07.676265,-437.7344705882353,2018-07-21 21:59:07.236422,1,-26.144000000000005,-97.473,-99.60696969696968,42.39189391004256,2018-07-21 21:59:07.354863,391.1737718996457,2018-07-21 21:59:07.354863,H1b3,2018-07-21 21:59:07.452336,156,10,131.0
157,-123.617,447.682,2018-07-21 21:59:08.124034,-437.7344705882353,2018-07-21 21:59:07.676265,1,18.790000000000006,-123.617,-99.60696969696968,42.39189391004256,2018-07-21 21:59:07.776576,391.1737718996457,2018-07-21 21:59:07.776576,H1b3,2018-07-21 21:59:07.900193,157,11,131.0
158,-104.827,431.781,2018-07-21 21:59:08.563766,-437.7344705882353,2018-07-21 21:59:08.124034,1,43.411,-104.827,-99.60696969696968,42.39189391004256,2018-07-21 21:59:08.243048,391.1737718996457,2018-07-21 21:59:08.243048,H1b3,2018-07-21 21:59:08.347875,158,12,131.0
159,-61.416,447.846,2018-07-21 21:59:09.003579,-437.7344705882353,2018-07-21 21:59:08.563766,1,-42.539,-61.416,-99.60696969696968,42.39189391004256,2018-07-21 21:59:08.718240,391.1737718996457,2018-07-21 21:59:08.718240,H1b3,2018-07-21 21:59:08.779656,159,13,131.0
160,-103.955,447.81,2018-07-21 21:59:09.451407,-437.7344705882353,2018-07-21 21:59:09.003579,1,-38.659000000000006,-103.955,-99.60696969696968,42.39189391004256,2018-07-21 21:59:09.123547,391.1737718996457,2018-07-21 21:59:09.123547,H1b3,2018-07-21 21:59:09.227502,160,14,131.0
161,-142.614,447.728,2018-07-21 21:59:09.899176,-437.7344705882353,2018-07-21 21:59:09.451407,1,11.060000000000002,-142.614,-99.60696969696968,42.39189391004256,2018-07-21 21:59:09.532698,391.1737718996457,2018-07-21 21:59:09.532698,H1b3,2018-07-21 21:59:09.675312,161,15,131.0
162,-131.554,431.78,2018-07-21 21:59:10.338930,-437.7344705882353,2018-07-21 21:59:09.899176,1,-38.75200000000001,-131.554,-99.60696969696968,42.39189391004256,2018-07-21 21:59:09.991486,391.1737718996457,2018-07-21 21:59:09.991486,H1b3,2018-07-21 21:59:10.123040,162,16,131.0
163,-170.30599999999995,447.734,2018-07-21 21:59:10.778687,-437.7344705882353,2018-07-21 21:59:10.338930,1,14.849000000000016,-170.30599999999995,-99.60696969696968,42.39189391004256,2018-07-21 21:59:10.384514,391.1737718996457,2018-07-21 21:59:10.384514,H1b3,2018-07-21 21:59:10.554820,163,17,131.0
164,-155.457,447.846,2018-07-21 21:59:11.226477,-437.7344705882353,2018-07-21 21:59:10.778687,1,-38.334,-155.457,-99.60696969696968,42.39189391004256,2018-07-21 21:59:10.847097,391.1737718996457,2018-07-21 21:59:10.847097,H1b3,2018-07-21 21:59:11.002554,164,18,131.0
165,-517.354,447.756,2018-07-21 21:59:11.674278,-437.7344705882353,2018-07-21 21:59:11.226477,1,72.15100000000002,-193.791,-99.60696969696968,42.39189391004256,2018-07-21 21:59:11.256609,391.1737718996457,2018-07-21 21:59:10.933046,H1b3,2018-07-21 21:59:11.450400,165,19,131.0
166,-641.547,431.772,2018-07-21 21:59:12.114042,-437.7344705882353,2018-07-21 21:59:11.674278,1,2.1719999999999966,-121.64,-99.60696969696968,42.39189391004256,2018-07-21 21:59:11.776516,391.1737718996457,2018-07-21 21:59:11.256609,H1b3,2018-07-21 21:59:11.898156,166,20,131.0
167,-553.4119999999998,447.8730000000001,2018-07-21 21:59:12.553864,-437.7344705882353,2018-07-21 21:59:12.114042,1,-34.241,-119.468,-99.60696969696968,42.39189391004256,2018-07-21 21:59:12.210460,391.1737718996457,2018-07-21 21:59:11.776516,H1b3,2018-07-21 21:59:12.329928,167,21,131.0
168,-567.341,447.694,2018-07-21 21:59:13.001648,-437.7344705882353,2018-07-21 21:59:12.553864,1,59.98400000000001,-153.709,-99.60696969696968,42.39189391004256,2018-07-21 21:59:12.624092,391.1737718996457,2018-07-21 21:59:12.210460,H1b3,2018-07-21 21:59:12.777801,168,22,131.0
169,-601.403,447.848,2018-07-21 21:59:13.449419,-437.7344705882353,2018-07-21 21:59:13.001648,1,-22.19000000000001,-93.725,-99.60696969696968,42.39189391004256,2018-07-21 21:59:13.131770,391.1737718996457,2018-07-21 21:59:12.624092,H1b3,2018-07-21 21:59:13.225495,169,23,131.0
