,Unnamed: 0,Asynchrony,IOI,Max,Min,Missed Taps,Phase Correction Response,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Sanitized Tap Onset,Tap Onset,Test,True Onset,User ID
1627,1627,-110.38600000000001,0 days 00:00:00.441179000,05/05/18 04:13 PM,05/05/18 04:13 PM,,55.400000000000006,-110.38600000000001,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
1628,1628,-54.986000000000004,0 days 00:00:00.464399000,05/05/18 04:13 PM,05/05/18 04:13 PM,,-21.617000000000004,-54.986000000000004,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
1629,1629,-76.60300000000001,0 days 00:00:00.441180000,05/05/18 04:13 PM,05/05/18 04:13 PM,,-32.839,-76.60300000000001,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
1630,1630,-109.44200000000001,0 days 00:00:00.441179000,05/05/18 04:14 PM,05/05/18 04:13 PM,,252.37300000000002,-109.44200000000001,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
1631,1631,142.931,0 days 00:00:00.441179000,05/05/18 04:14 PM,05/05/18 04:14 PM,,-130.18300000000002,142.931,-60.596000000000004,43.9813008150163,05/05/18 04:14 PM,05/05/18 04:14 PM,A1a3,05/05/18 04:14 PM,390
1632,1632,12.748,0 days 00:00:00.348299000,05/05/18 04:14 PM,05/05/18 04:14 PM,,-58.949,12.748,-30.730714285714303,37.2605703927035,05/05/18 04:14 PM,05/05/18 04:14 PM,A1a4,05/05/18 04:14 PM,390
1633,1633,-46.201,0 days 00:00:00.325079000,05/05/18 04:14 PM,05/05/18 04:14 PM,,-1.2879999999999967,-46.201,-30.730714285714303,37.2605703927035,05/05/18 04:14 PM,05/05/18 04:14 PM,A1a4,05/05/18 04:14 PM,390
1634,1634,-47.489,0 days 00:00:00.325080000,05/05/18 04:14 PM,05/05/18 04:14 PM,,-1.8160000000000025,-47.489,-30.730714285714303,37.2605703927035,05/05/18 04:14 PM,05/05/18 04:14 PM,A1a4,05/05/18 04:14 PM,390
1635,1635,-49.305,0 days 00:00:00.348299000,05/05/18 04:14 PM,05/05/18 04:14 PM,,-8.243000000000002,-49.305,-30.730714285714303,37.2605703927035,05/05/18 04:14 PM,05/05/18 04:14 PM,A1a4,05/05/18 04:14 PM,390
1636,1636,-57.548,0 days 00:00:00.325079000,05/05/18 04:14 PM,05/05/18 04:14 PM,,-5.075000000000003,-57.548,-30.730714285714303,37.2605703927035,05/05/18 04:14 PM,05/05/18 04:14 PM,A1a4,05/05/18 04:14 PM,390
1637,1637,-62.623000000000005,0 days 00:00:00.325080000,05/05/18 04:14 PM,05/05/18 04:14 PM,,14.151000000000003,-62.623000000000005,-30.730714285714303,37.2605703927035,05/05/18 04:14 PM,05/05/18 04:14 PM,A1a4,05/05/18 04:14 PM,390
1638,1638,-48.472,0 days 00:00:00.348299000,05/05/18 04:14 PM,05/05/18 04:14 PM,,17.203,-48.472,-30.730714285714303,37.2605703927035,05/05/18 04:14 PM,05/05/18 04:14 PM,A1a4,05/05/18 04:14 PM,390
1639,1639,-31.269000000000002,0 days 00:00:00.325079000,05/05/18 04:14 PM,05/05/18 04:14 PM,,1.8340000000000032,-31.269000000000002,-30.730714285714303,37.2605703927035,05/05/18 04:14 PM,05/05/18 04:14 PM,A1a4,05/05/18 04:14 PM,390
1640,1640,-29.435,0 days 00:00:00.348300000,05/05/18 04:14 PM,05/05/18 04:14 PM,,-15.301000000000005,-29.435,-30.730714285714303,37.2605703927035,05/05/18 04:14 PM,05/05/18 04:14 PM,A1a4,05/05/18 04:14 PM,390
1641,1641,-44.736000000000004,0 days 00:00:00.325079000,05/05/18 04:14 PM,05/05/18 04:14 PM,,7.429000000000009,-44.736000000000004,-30.730714285714303,37.2605703927035,05/05/18 04:14 PM,05/05/18 04:14 PM,A1a4,05/05/18 04:14 PM,390
1642,1642,-37.306999999999995,0 days 00:00:00.325080000,05/05/18 04:14 PM,05/05/18 04:14 PM,,6.680999999999997,-37.306999999999995,-30.730714285714303,37.2605703927035,05/05/18 04:14 PM,05/05/18 04:14 PM,A1a4,05/05/18 04:14 PM,390
1643,1643,-30.625999999999998,0 days 00:00:00.348299000,05/05/18 04:14 PM,05/05/18 04:14 PM,,-32.864000000000004,-30.625999999999998,-30.730714285714303,37.2605703927035,05/05/18 04:14 PM,05/05/18 04:14 PM,A1a4,05/05/18 04:14 PM,390
1644,1644,-63.49,0 days 00:00:00.325079000,05/05/18 04:14 PM,05/05/18 04:14 PM,,26.148000000000003,-63.49,-30.730714285714303,37.2605703927035,05/05/18 04:14 PM,05/05/18 04:14 PM,A1a4,05/05/18 04:14 PM,390
