Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response
-52.591,35:04.0,H1a4,35:04.1,127,335.623,35:04.3,35:03.9,35:04.0,-52.591,-5.755111111,35.47615625,-5.755111111,35.47615625,0,16.302
-36.289,35:04.4,H1a4,35:04.4,127,319.906,35:04.6,35:04.3,35:04.4,-36.289,-5.755111111,35.47615625,-5.755111111,35.47615625,0,-4.628
-40.917,35:04.7,H1a4,35:04.8,127,336.192,35:04.9,35:04.6,35:04.7,-40.917,-5.755111111,35.47615625,-5.755111111,35.47615625,0,24.347
-16.57,35:05.1,H1a4,35:05.1,127,335.815,35:05.3,35:04.9,35:05.1,-16.57,-5.755111111,35.47615625,-5.755111111,35.47615625,0,-12.51
-29.08,35:05.4,H1a4,35:05.4,127,335.778,35:05.6,35:05.3,35:05.4,-29.08,-5.755111111,35.47615625,-5.755111111,35.47615625,0,
-333.284,33:47.5,H1b1,33:47.8,127,1327.302,33:48.5,33:47.1,33:47.5,-333.284,-327.6635455,66.98881909,-327.6635455,66.98881909,0,89.254
-244.03,33:48.9,H1b1,33:49.1,127,1327.398,33:49.8,33:48.5,33:48.9,-244.03,-327.6635455,66.98881909,-327.6635455,66.98881909,0,31.914
-212.116,33:50.2,H1b1,33:50.4,127,1343.471,33:51.1,33:49.8,33:50.2,-212.116,-327.6635455,66.98881909,-327.6635455,66.98881909,0,-131.821
-343.937,33:51.4,H1b1,33:51.8,127,1327.425,33:52.5,33:51.1,33:51.4,-343.937,-327.6635455,66.98881909,-327.6635455,66.98881909,0,68.931
-275.006,33:52.8,H1b1,33:53.1,127,1327.611,33:53.8,33:52.5,33:52.8,-275.006,-327.6635455,66.98881909,-327.6635455,66.98881909,0,-5.361
-280.367,33:54.2,H1b1,33:54.4,127,1343.198,33:55.1,33:53.8,33:54.2,-280.367,-327.6635455,66.98881909,-327.6635455,66.98881909,0,-65.812
-346.179,33:55.4,H1b1,33:55.8,127,1327.297,33:56.5,33:55.1,33:55.4,-346.179,-327.6635455,66.98881909,-327.6635455,66.98881909,0,-49.971
-396.15,33:56.7,H1b1,33:57.1,127,1327.59,33:57.8,33:56.5,33:56.7,-396.15,-327.6635455,66.98881909,-327.6635455,66.98881909,0,-17.48
-413.63,33:58.0,H1b1,33:58.4,127,1343.414,33:59.1,33:57.8,33:58.0,-413.63,-327.6635455,66.98881909,-327.6635455,66.98881909,0,7.723
-405.907,33:59.4,H1b1,33:59.8,127,1327.534,34:00.5,33:59.1,33:59.4,-405.907,-327.6635455,66.98881909,-327.6635455,66.98881909,0,52.214
-353.693,34:00.8,H1b1,34:01.1,127,1327.619,34:01.8,34:00.5,34:00.8,-353.693,-327.6635455,66.98881909,-327.6635455,66.98881909,0,
-186.404,33:26.0,H1b2,33:26.2,127,655.878,33:26.6,33:25.9,33:26.0,-186.404,-27.89105,135.9818748,826.3644762,604.8672948,2,27.876
-158.528,33:26.7,H1b2,33:26.9,127,671.687,33:27.2,33:26.6,33:26.7,-158.528,-27.89105,135.9818748,826.3644762,604.8672948,2,19.847
-138.681,33:27.4,H1b2,33:27.6,127,655.655,33:27.9,33:27.2,33:27.4,-138.681,-27.89105,135.9818748,826.3644762,604.8672948,2,81.663
-57.018,33:28.2,H1b2,33:28.2,127,671.626,33:28.6,33:27.9,33:28.2,-57.018,-27.89105,135.9818748,826.3644762,604.8672948,2,93.788
36.77,33:28.9,H1b2,33:28.9,127,671.718,33:29.2,33:28.6,33:28.9,36.77,-27.89105,135.9818748,826.3644762,604.8672948,2,208.632
245.402,33:29.8,H1b2,33:29.6,127,655.647,33:29.9,33:29.2,33:29.8,245.402,-27.89105,135.9818748,826.3644762,604.8672948,2,
543.661,33:30.8,H1b2,33:30.2,127,672.03,33:30.6,33:29.9,,,-27.89105,135.9818748,826.3644762,604.8672948,2,
727.25,33:31.6,H1b2,33:30.9,127,671.623,33:31.2,33:30.6,33:30.8,-128.369,-27.89105,135.9818748,826.3644762,604.8672948,2,183.996
984.959,33:32.5,H1b2,33:31.6,127,655.523,33:31.9,33:31.2,33:31.6,55.627,-27.89105,135.9818748,826.3644762,604.8672948,2,273.809
1090.941,33:33.3,H1b2,33:32.2,127,671.853,33:32.5,33:31.9,33:32.5,329.436,-27.89105,135.9818748,826.3644762,604.8672948,2,
1164.073,33:34.0,H1b2,33:32.9,127,655.838,33:33.2,33:32.5,,,-27.89105,135.9818748,826.3644762,604.8672948,2,
1278.088,33:34.8,H1b2,33:33.5,127,671.365,33:33.9,33:33.2,33:33.3,-236.75,-27.89105,135.9818748,826.3644762,604.8672948,2,73.62
1306.746,33:35.5,H1b2,33:34.2,127,671.796,33:34.6,33:33.9,33:34.0,-163.13,-27.89105,135.9818748,826.3644762,604.8672948,2,98.057
1359.742,33:36.2,H1b2,33:34.9,127,655.764,33:35.2,33:34.6,33:34.8,-65.073,-27.89105,135.9818748,826.3644762,604.8672948,2,44.259
1277.114,33:36.8,H1b2,33:35.5,127,671.787,33:35.9,33:35.2,33:35.5,-20.814,-27.89105,135.9818748,826.3644762,604.8672948,2,53.005
1313.563,33:37.5,H1b2,33:36.2,127,671.777,33:36.5,33:35.9,33:36.2,32.191,-27.89105,135.9818748,826.3644762,604.8672948,2,-98.641
1337.85,33:38.2,H1b2,33:36.9,127,655.614,33:37.2,33:36.5,33:36.8,-66.45,-27.89105,135.9818748,826.3644762,604.8672948,2,52.622
1288.309,33:38.8,H1b2,33:37.5,127,671.905,33:37.9,33:37.2,33:37.5,-13.828,-27.89105,135.9818748,826.3644762,604.8672948,2,24.159
1340.956,33:39.6,H1b2,33:38.2,127,655.604,33:38.5,33:37.9,33:38.2,10.331,-27.89105,135.9818748,826.3644762,604.8672948,2,-49.531
1336.372,33:40.2,H1b2,33:38.9,127,671.676,33:39.2,33:38.5,33:38.8,-39.2,-27.89105,135.9818748,826.3644762,604.8672948,2,52.876
1262.489,33:40.8,H1b2,33:39.5,127,671.705,33:39.9,33:39.2,33:39.6,13.676,-27.89105,135.9818748,826.3644762,604.8672948,2,-20.685
