Asynchrony,Group,IOI,,Max,Mean Asynchrony,Min,Missed Taps,Phase Correction Response,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Sanitized Tap Onset,Std Dev Asynchrony,Tap Onset,Test,True Onset,User ID
-3.885,Professional,335.816,Flute,34:58.3,-5.755111111,34:57.9,0,-12.188,-3.885,-5.755111111,35.47615625,34:58.1,35.47615625,34:58.1,H1a4,34:58.1,824
-16.073,Professional,336.209,Flute,34:58.6,-5.755111111,34:58.3,0,15.922,-16.073,-5.755111111,35.47615625,34:58.4,35.47615625,34:58.4,H1a4,34:58.4,824
-0.151,Professional,335.691,Flute,34:58.9,-5.755111111,34:58.6,0,-12.407,-0.151,-5.755111111,35.47615625,34:58.8,35.47615625,34:58.8,H1a4,34:58.8,824
-12.558,Professional,319.579,Flute,34:59.3,-5.755111111,34:58.9,0,24.266,-12.558,-5.755111111,35.47615625,34:59.1,35.47615625,34:59.1,H1a4,34:59.1,824
11.708,Professional,335.8,Flute,34:59.6,-5.755111111,34:59.3,0,-12.608,11.708,-5.755111111,35.47615625,34:59.4,35.47615625,34:59.4,H1a4,34:59.4,824
-0.9,Professional,336.044,Flute,34:59.9,-5.755111111,34:59.6,0,28.354,-0.9,-5.755111111,35.47615625,34:59.8,35.47615625,34:59.8,H1a4,34:59.8,824
27.454,Professional,335.86,Flute,35:00.3,-5.755111111,34:59.9,0,-20.385,27.454,-5.755111111,35.47615625,35:00.1,35.47615625,35:00.1,H1a4,35:00.1,824
7.069,Professional,335.975,Flute,35:00.6,-5.755111111,35:00.3,0,-12.525,7.069,-5.755111111,35.47615625,35:00.4,35.47615625,35:00.4,H1a4,35:00.4,824
-5.456,Professional,335.588,Flute,35:00.9,-5.755111111,35:00.6,0,-28.435,-5.456,-5.755111111,35.47615625,35:00.8,35.47615625,35:00.8,H1a4,35:00.8,824
-33.891,Professional,320.178,Flute,35:01.3,-5.755111111,35:00.9,0,23.641,-33.891,-5.755111111,35.47615625,35:01.1,35.47615625,35:01.1,H1a4,35:01.1,824
-10.25,Professional,335.654,Flute,35:01.6,-5.755111111,35:01.3,0,-28.486,-10.25,-5.755111111,35.47615625,35:01.4,35.47615625,35:01.4,H1a4,35:01.4,824
-38.736,Professional,335.867,Flute,35:01.9,-5.755111111,35:01.6,0,7.97,-38.736,-5.755111111,35.47615625,35:01.7,35.47615625,35:01.7,H1a4,35:01.8,824
-30.766,Professional,335.986,Flute,35:02.3,-5.755111111,35:01.9,0,3.884,-30.766,-5.755111111,35.47615625,35:02.1,35.47615625,35:02.1,H1a4,35:02.1,824
-26.882,Professional,335.881,Flute,35:02.6,-5.755111111,35:02.3,0,-4.584,-26.882,-5.755111111,35.47615625,35:02.4,35.47615625,35:02.4,H1a4,35:02.4,824
-31.466,Professional,319.823,Flute,35:02.9,-5.755111111,35:02.6,0,8.015,-31.466,-5.755111111,35.47615625,35:02.7,35.47615625,35:02.7,H1a4,35:02.8,824
-23.451,Professional,335.789,Flute,35:03.3,-5.755111111,35:02.9,0,3.874,-23.451,-5.755111111,35.47615625,35:03.1,35.47615625,35:03.1,H1a4,35:03.1,824
-19.577,Professional,335.965,Flute,35:03.6,-5.755111111,35:03.3,0,-8.413,-19.577,-5.755111111,35.47615625,35:03.4,35.47615625,35:03.4,H1a4,35:03.4,824
-27.99,Professional,335.781,Flute,35:03.9,-5.755111111,35:03.6,0,-24.601,-27.99,-5.755111111,35.47615625,35:03.7,35.47615625,35:03.7,H1a4,35:03.8,824
-52.591,Professional,335.623,Flute,35:04.3,-5.755111111,35:03.9,0,16.302,-52.591,-5.755111111,35.47615625,35:04.0,35.47615625,35:04.0,H1a4,35:04.1,824
-36.289,Professional,319.906,Flute,35:04.6,-5.755111111,35:04.3,0,-4.628,-36.289,-5.755111111,35.47615625,35:04.4,35.47615625,35:04.4,H1a4,35:04.4,824
-40.917,Professional,336.192,Flute,35:04.9,-5.755111111,35:04.6,0,24.347,-40.917,-5.755111111,35.47615625,35:04.7,35.47615625,35:04.7,H1a4,35:04.8,824
-16.57,Professional,335.815,Flute,35:05.3,-5.755111111,35:04.9,0,-12.51,-16.57,-5.755111111,35.47615625,35:05.1,35.47615625,35:05.1,H1a4,35:05.1,824
-29.08,Professional,335.778,Flute,35:05.6,-5.755111111,35:05.3,0,,-29.08,-5.755111111,35.47615625,35:05.4,35.47615625,35:05.4,H1a4,35:05.4,824
-333.284,Professional,1327.302,Flute,33:48.5,-327.6635455,33:47.1,0,89.254,-333.284,-327.6635455,66.98881909,33:47.5,66.98881909,33:47.5,H1b1,33:47.8,824
-244.03,Professional,1327.398,Flute,33:49.8,-327.6635455,33:48.5,0,31.914,-244.03,-327.6635455,66.98881909,33:48.9,66.98881909,33:48.9,H1b1,33:49.1,824
-212.116,Professional,1343.471,Flute,33:51.1,-327.6635455,33:49.8,0,-131.821,-212.116,-327.6635455,66.98881909,33:50.2,66.98881909,33:50.2,H1b1,33:50.4,824
-343.937,Professional,1327.425,Flute,33:52.5,-327.6635455,33:51.1,0,68.931,-343.937,-327.6635455,66.98881909,33:51.4,66.98881909,33:51.4,H1b1,33:51.8,824
-275.006,Professional,1327.611,Flute,33:53.8,-327.6635455,33:52.5,0,-5.361,-275.006,-327.6635455,66.98881909,33:52.8,66.98881909,33:52.8,H1b1,33:53.1,824
-280.367,Professional,1343.198,Flute,33:55.1,-327.6635455,33:53.8,0,-65.812,-280.367,-327.6635455,66.98881909,33:54.2,66.98881909,33:54.2,H1b1,33:54.4,824
-346.179,Professional,1327.297,Flute,33:56.5,-327.6635455,33:55.1,0,-49.971,-346.179,-327.6635455,66.98881909,33:55.4,66.98881909,33:55.4,H1b1,33:55.8,824
-396.15,Professional,1327.59,Flute,33:57.8,-327.6635455,33:56.5,0,-17.48,-396.15,-327.6635455,66.98881909,33:56.7,66.98881909,33:56.7,H1b1,33:57.1,824
-413.63,Professional,1343.414,Flute,33:59.1,-327.6635455,33:57.8,0,7.723,-413.63,-327.6635455,66.98881909,33:58.0,66.98881909,33:58.0,H1b1,33:58.4,824
-405.907,Professional,1327.534,Flute,34:00.5,-327.6635455,33:59.1,0,52.214,-405.907,-327.6635455,66.98881909,33:59.4,66.98881909,33:59.4,H1b1,33:59.8,824
