,Unnamed: 0,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response,Group,Instrument
106,23,1011.531,27:13.3,A1a4,27:12.3,552,0 days 00:00:00.348300000,27:12.4,27:12.1,27:12.3,21.226,13.22353571,20.53007349,1013.115518,20.35426458,2,2.245,Professional,Percussion
107,24,996.221,27:13.6,A1a4,27:12.6,552,0 days 00:00:00.325079000,27:12.8,27:12.4,27:12.6,23.471,13.22353571,20.53007349,1013.115518,20.35426458,2,-34.106,Professional,Percussion
108,25,1007.114,27:13.9,A1a4,27:12.9,552,0 days 00:00:00.325079000,27:13.1,27:12.8,27:12.9,-10.635,13.22353571,20.53007349,1013.115518,20.35426458,2,23.708,Professional,Percussion
109,26,1014.249,27:14.3,A1a4,27:13.3,552,0 days 00:00:00.348300000,27:13.4,27:13.1,27:13.3,13.073,13.22353571,20.53007349,1013.115518,20.35426458,2,-15.31,Professional,Percussion
110,27,1089.329,27:14.7,A1a4,27:13.6,552,0 days 00:00:00.325079000,27:13.8,27:13.4,27:13.6,-2.237,13.22353571,20.53007349,1013.115518,20.35426458,2,10.893,Professional,Percussion
111,28,1014.196,27:14.9,A1a4,27:13.9,552,0 days 00:00:00.325079000,27:14.1,27:13.8,27:13.9,8.656,13.22353571,20.53007349,1013.115518,20.35426458,2,7.135,Professional,Percussion
112,29,1034.527,27:15.3,A1a4,27:14.3,552,0 days 00:00:00.348300000,27:14.4,27:14.1,27:14.3,15.791,13.22353571,20.53007349,1013.115518,20.35426458,2,75.08,Professional,Percussion
113,30,1010.783,27:15.6,A1a4,27:14.6,552,0 days 00:00:00.325079000,27:14.8,27:14.4,27:14.7,90.871,13.22353571,20.53007349,1013.115518,20.35426458,2,-75.133,Professional,Percussion
114,31,1008.917,27:15.9,A1a4,27:14.9,552,0 days 00:00:00.325079000,27:15.1,27:14.8,27:14.9,15.738,13.22353571,20.53007349,1013.115518,20.35426458,2,20.331,Professional,Percussion
115,32,1007.993,27:16.3,A1a4,27:15.3,552,0 days 00:00:00.348300000,27:15.4,27:15.1,27:15.3,36.069,13.22353571,20.53007349,1013.115518,20.35426458,2,-23.744,Professional,Percussion
